納入申告書_特例申告（定率）,,,,,,,,,,,
"「必須」欄の凡例
○：必須項目　　　　　　　必ず値を設定してください。
△：条件付き必須項目　　　他の項目の設定内容により設定が必須となります。条件について、各項目の「備考」欄を参照してください。
－：入力不要項目　　　　　システムが自動で設定する項目のため、値を設定しない。項目区切りを表す"",""(カンマ)は必要ですのでご注意ください。
空白：任意入力項目　　　　設定は任意です。値を設定しない場合でも、項目区切りを表す"",""(カンマ)が必要ですのでご注意ください。

「文字属性」欄の凡例
全角：【全角】eLTAXで使用できる全角文字( https://www.eltax.lta.go.jp/eltax/chuuijikou/moji/ )を入力する。（℃、Å、⌒、★、☆、♀、♂、♪、♭、♯は使用不可）
半角：【半角】英数字、記号を入力する。
数字：【半角】数字を入力する。",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
No.,CSV項目名称,データの意味,入力文字,,,,コードID,備考,,,
,,,必須,型,文字属性,文字数,,,,,
153,納入税額－行為年月２－申告区分１０【宿泊料金の総額】,,,,数字,11,,,,,
154,納入税額－行為年月２－申告区分１０【宿泊者数】,,,,数字,8,,,,,
155,納入税額－行為年月２－申告区分１０【宿泊料金】,,,,数字,13,,,,,
156,納入税額－行為年月２－申告区分１０【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
157,納入税額－行為年月２－申告区分１０【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
158,納入税額－行為年月２－課税対象宿泊合計【宿泊者数】,,○,,数字,9,,,,,
159,納入税額－行為年月２－課税対象宿泊合計【宿泊料金】,,○,,数字,14,,,,,
160,納入税額－行為年月２－課税対象宿泊合計【税額】,,○,,数字,14,,,,,
161,納入税額－行為年月２－課税免除【宿泊者数】,,○,,数字,9,,,,,
162,納入税額－行為年月２－課税免除【宿泊料金】,,○,,数字,14,,,,,
163,納入税額－行為年月２－合計【宿泊者数】,,○,,数字,10,,,,,
164,納入税額－行為年月２－合計【税額】,,○,,数字,14,,,,,
165,納入税額－行為年月３,行為年月を西暦6桁の年月で記録する。,○,,数字,6,,西暦6桁の年月を記録する。,,,
166,納入税額－行為年月３【申告区分１】,,○,,全角,50,,,,,
167,納入税額－行為年月３－申告区分１【宿泊料金の総額】,,,,数字,11,,,,,
168,納入税額－行為年月３－申告区分１【宿泊者数】,,,,数字,8,,,,,
169,納入税額－行為年月３－申告区分１【宿泊料金】,,,,数字,13,,,,,
170,納入税額－行為年月３－申告区分１【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
171,納入税額－行為年月３－申告区分１【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
172,納入税額－行為年月３【申告区分２】,,,,全角,50,,,,,
173,納入税額－行為年月３－申告区分２【宿泊料金の総額】,,,,数字,11,,,,,
174,納入税額－行為年月３－申告区分２【宿泊者数】,,,,数字,8,,,,,
175,納入税額－行為年月３－申告区分２【宿泊料金】,,,,数字,13,,,,,
176,納入税額－行為年月３－申告区分２【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
177,納入税額－行為年月３－申告区分２【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
178,納入税額－行為年月３【申告区分３】,,,,全角,50,,,,,
179,納入税額－行為年月３－申告区分３【宿泊料金の総額】,,,,数字,11,,,,,
180,納入税額－行為年月３－申告区分３【宿泊者数】,,,,数字,8,,,,,
181,納入税額－行為年月３－申告区分３【宿泊料金】,,,,数字,13,,,,,
182,納入税額－行為年月３－申告区分３【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
183,納入税額－行為年月３－申告区分３【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
184,納入税額－行為年月３【申告区分４】,,,,全角,50,,,,,
185,納入税額－行為年月３－申告区分４【宿泊料金の総額】,,,,数字,11,,,,,
186,納入税額－行為年月３－申告区分４【宿泊者数】,,,,数字,8,,,,,
187,納入税額－行為年月３－申告区分４【宿泊料金】,,,,数字,13,,,,,
188,納入税額－行為年月３－申告区分４【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
189,納入税額－行為年月３－申告区分４【税額】,,,,数字,13,,"宿泊料金×税率÷100の計算結果を記録する。
小数点以下は切り捨てする。",,,
190,納入税額－行為年月３【申告区分５】,,,,全角,50,,,,,
191,納入税額－行為年月３－申告区分５【宿泊料金の総額】,,,,数字,11,,,,,
192,納入税額－行為年月３－申告区分５【宿泊者数】,,,,数字,8,,,,,
193,納入税額－行為年月３－申告区分５【宿泊料金】,,,,数字,13,,,,,
194,納入税額－行為年月３－申告区分５【税率】,"整数部最大2桁、小数点1桁、小数点以下2桁の最大5桁の数字を記録する。
10.05％の場合、10.05と設定する。",,,数字,12,,"0.01～99.99(%)の範囲内であること。
各地方団体が設定した税率を記録する。",,,
